OSG;PSG;Obywatelstwo;Symbol;Wydanie wizy Schengen, Zasiêg terytorialny - Pañstwa Schengen;Wydanie wizy Schengen, Zasiêg terytorialny - Polska;Zast¹pienie naklejki wizowej, Rodzaj wizy - VD;Zast¹pienie naklejki wizowej, Rodzaj wizy - VC
BiOSG;PSG w Korczowej;Rosja;RU;1;0;0;0
BiOSG;PSG w Korczowej;Ukraina;UA;1;0;0;0
BiOSG;PSG w Lubaczowie;Ukraina;UA;0;0;0;1
BiOSG;PSG w Medyce;Ukraina;UA;4;0;0;0
BiOSG;PSG w Rzeszowie–Jasionce;Ukraina;UA;10;0;0;0
KaOSG;PSG w Krakowie-Balicach;Filipiny;PH;0;0;1;0
KaOSG;PSG w Krakowie-Balicach;Indie;IN;1;0;0;0
KaOSG;PSG w Krakowie-Balicach;Stany Zjednoczone;US;0;0;0;1
MOSG;PSG w Gdañsku;Bangladesz;BD;0;1;0;0
MOSG;PSG w Gdañsku;Birma (Myanmar);MM;1;0;0;0
MOSG;PSG w Gdañsku;Chiny;CN;1;0;0;0
MOSG;PSG w Gdañsku;Egipt;EG;0;1;0;0
MOSG;PSG w Gdañsku;Etiopia;ET;1;0;0;0
MOSG;PSG w Gdañsku;Filipiny;PH;144;0;0;0
MOSG;PSG w Gdañsku;Gruzja;GE;2;0;0;0
MOSG;PSG w Gdañsku;Indie;IN;53;0;0;0
MOSG;PSG w Gdañsku;Indonezja;ID;2;0;0;0
MOSG;PSG w Gdañsku;Irak;IQ;1;0;0;0
MOSG;PSG w Gdañsku;Jamajka;JM;1;0;0;0
MOSG;PSG w Gdañsku;Rosja;RU;231;0;0;0
MOSG;PSG w Gdañsku;Sri Lanka;LK;0;5;0;0
MOSG;PSG w Gdañsku;Syria;SY;0;5;0;0
MOSG;PSG w Gdañsku;Tunezja;TN;0;1;0;0
MOSG;PSG w Gdañsku;Turcja;TR;11;0;0;0
MOSG;PSG w Gdañsku;Ukraina;UA;5;0;0;0
MOSG;PSG w Gdañsku;Zambia;ZM;1;0;0;0
MOSG;PSG w Gdyni;Azerbejd¿an;AZ;1;0;0;0
MOSG;PSG w Gdyni;Egipt;EG;0;2;0;0
MOSG;PSG w Gdyni;Filipiny;PH;176;0;0;0
MOSG;PSG w Gdyni;Indie;IN;17;0;0;0
MOSG;PSG w Gdyni;Indonezja;ID;4;0;0;0
MOSG;PSG w Gdyni;Rosja;RU;106;0;0;0
MOSG;PSG w Gdyni;Turcja;TR;5;0;0;0
MOSG;PSG w Ko³obrzegu;Rosja;RU;3;0;0;0
MOSG;PSG w Szczecinie;Filipiny;PH;66;0;0;0
MOSG;PSG w Szczecinie;Gruzja;GE;5;0;0;0
MOSG;PSG w Szczecinie;Indie;IN;7;0;0;0
MOSG;PSG w Szczecinie;Indonezja;ID;3;0;0;0
MOSG;PSG w Szczecinie;Republika Zielonego Przyl¹dka;CV;2;0;0;0
MOSG;PSG w Szczecinie;Rosja;RU;49;0;0;0
MOSG;PSG w Szczecinie;Turcja;TR;10;0;0;0
MOSG;PSG w Szczecinie;Ukraina;UA;3;0;0;0
MOSG;PSG w Œwinoujœciu;Birma (Myanmar);MM;1;0;0;0
MOSG;PSG w Œwinoujœciu;Egipt;EG;0;2;0;0
MOSG;PSG w Œwinoujœciu;Filipiny;PH;76;0;0;0
MOSG;PSG w Œwinoujœciu;Indie;IN;19;0;0;0
MOSG;PSG w Œwinoujœciu;Indonezja;ID;2;0;0;0
MOSG;PSG w Œwinoujœciu;Pakistan;PK;0;1;0;0
MOSG;PSG w Œwinoujœciu;Republika Po³udniowej Afryki;ZA;1;0;0;0
MOSG;PSG w Œwinoujœciu;Rosja;RU;8;0;0;0
MOSG;PSG w Œwinoujœciu;Turcja;TR;8;0;0;0
MOSG;PSG w Œwinoujœciu;Ukraina;UA;3;0;0;0
NoOSG;PSG w Poznaniu-£awicy;Ukraina;UA;0;1;0;0
NoOSG;PSG we Wroc³awiu-Strachowicach;Indie;IN;2;0;0;0
NoOSG;PSG we Wroc³awiu-Strachowicach;Turcja;TR;1;0;0;0
NoOSG;PSG we Wroc³awiu-Strachowicach;Ukraina;UA;0;0;1;0
NoOSG;PSG we Wroc³awiu-Strachowicach;Zimbabwe;ZW;0;1;0;0
NOSG;PSG w Do³hobyczowie;Ukraina;UA;0;0;4;11
NOSG;PSG w Dorohusku;Kazachstan;KZ;0;0;1;0
NOSG;PSG w Dorohusku;Ukraina;UA;2;0;16;31
NOSG;PSG w Hrebennem;Ukraina;UA;0;0;8;23
NOSG;PSG w Hrubieszowie;Ukraina;UA;2;0;1;3
NOSG;PSG w Lublinie;Ukraina;UA;2;0;1;0
NOSG;PSG w S³awatyczach;Bia³oruœ;BY;0;0;2;0
NOSG;PSG w S³awatyczach;Rosja;RU;1;0;1;0
NOSG;PSG w S³awatyczach;Ukraina;UA;1;0;0;0
NOSG;PSG w Terespolu;Azerbejd¿an;AZ;0;0;1;0
NOSG;PSG w Terespolu;Bia³oruœ;BY;0;0;15;1
NOSG;PSG w Terespolu;Rosja;RU;2;0;1;0
NwOSG;PSG Warszawa-Okêcie;Armenia;AM;3;0;0;0
NwOSG;PSG Warszawa-Okêcie;Australia;AU;0;2;0;0
NwOSG;PSG Warszawa-Okêcie;Azerbejd¿an;AZ;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Bangladesz;BD;0;3;0;0
NwOSG;PSG Warszawa-Okêcie;Bia³oruœ;BY;0;13;0;0
NwOSG;PSG Warszawa-Okêcie;Birma (Myanmar);MM;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Chiny;CN;3;0;0;0
NwOSG;PSG Warszawa-Okêcie;Filipiny;PH;101;0;0;0
NwOSG;PSG Warszawa-Okêcie;Gambia;GM;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Gruzja;GE;2;3;0;0
NwOSG;PSG Warszawa-Okêcie;Gujana;GY;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Gwinea;GN;0;1;0;0
NwOSG;PSG Warszawa-Okêcie;Indie;IN;28;0;0;0
NwOSG;PSG Warszawa-Okêcie;Indonezja;ID;6;1;0;0
NwOSG;PSG Warszawa-Okêcie;Iran;IR;0;1;0;0
NwOSG;PSG Warszawa-Okêcie;Jamajka;JM;1;0;0;0
NwOSG;PSG Warszawa-Okêcie;Kanada;CA;0;2;0;0
NwOSG;PSG Warszawa-Okêcie;Katar;QA;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Kazachstan;KZ;2;0;0;0
NwOSG;PSG Warszawa-Okêcie;Mo³dowa;MD;8;1;0;0
NwOSG;PSG Warszawa-Okêcie;Nepal;NP;8;0;0;0
NwOSG;PSG Warszawa-Okêcie;Rosja;RU;56;2;0;0
NwOSG;PSG Warszawa-Okêcie;Sudan;SD;0;2;0;0
NwOSG;PSG Warszawa-Okêcie;Syria;SY;0;4;0;0
NwOSG;PSG Warszawa-Okêcie;Tunezja;TN;0;1;0;0
NwOSG;PSG Warszawa-Okêcie;Turcja;TR;12;0;0;0
NwOSG;PSG Warszawa-Okêcie;Ukraina;UA;69;0;1;0
POSG;PSG w Bobrownikach;Bia³oruœ;BY;1;0;19;1
POSG;PSG w Bobrownikach;Kosowo;XK;2;0;0;0
POSG;PSG w Bobrownikach;Rosja;RU;2;0;2;0
POSG;PSG w Czeremsze;Bia³oruœ;BY;0;0;4;0
POSG;PSG w KuŸnicy;Bia³oruœ;BY;0;0;10;1
POSG;PSG w KuŸnicy;Nigeria;NG;0;0;1;0
W-M OSG;PSG w Bezledach;Rosja;RU;0;0;1;0
W-M OSG;PSG w Go³dapi;Rosja;RU;0;0;1;0
